cs_run,exp_id,expname,is_reference,flare_emission,ishape,ikeis,domain,remote_run_dir,remote_json,meteogram_count,three_d_count,lv1_ready,lv2_ready,local_lv1_available,local_lv2_available,local_lv3_available,ref_exp_id,ref_expname,pair_method,pair_status,has_reference_pair,ref_used_by_flare,usable_for_lv1,usable_for_lv2,usable_for_plume_tracking,usable_for_process_budget,include_in_paper,table_id,selection_rule,source_csvs
cs-eriswil__20260120_204218,0,20260120204219,FALSE,1000000.0,4,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,1,20260120204430,single_reference,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260120_204218,1,20260120204430,TRUE,0.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260120_204218,2,20260120204641,FALSE,1000000.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,1,20260120204430,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,0,20260121131528,TRUE,0.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,1,20260121131550,FALSE,1000000.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,0,20260121131528,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,2,20260121131632,FALSE,1000000.0,4,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,0,20260121131528,single_reference,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,0,20260127211338,TRUE,0.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,1,20260127211431,FALSE,1000000.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,0,20260127211338,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,2,20260127211516,TRUE,0.0,3,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,3,20260127211551,FALSE,1000000.0,3,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,2,20260127211516,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,0,20260210113944,FALSE,1000000.0,4,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,3,20260210114519,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,1,20260210114136,TRUE,0.0,2,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,2,20260210114328,FALSE,1000000.0,2,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,1,20260210114136,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,3,20260210114519,TRUE,0.0,4,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,1,20260211194427,TRUE,0.0,2,0,50x40xZ,OK,OK,12,4,YES,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,2,20260211194619,FALSE,1000000.0,2,0,50x40xZ,OK,OK,12,4,YES,YES,FALSE,TRUE,TRUE,1,20260211194427,same_shape,MATCHED,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,0,20260304110446,FALSE,1000000.0,4,1,50x40xZ,OK,OK,15,0,NO,YES,FALSE,TRUE,TRUE,2,20260304110829,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,1,20260304110638,FALSE,1000000.0,2,1,50x40xZ,OK,OK,15,0,NO,YES,FALSE,TRUE,TRUE,2,20260304110829,single_reference,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,2,20260304110829,TRUE,0.0,4,1,50x40xZ,OK,OK,15,0,NO,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,3,20260304111020,FALSE,1000000.0,4,1,50x40xZ,OK,OK,15,0,NO,YES,FALSE,TRUE,TRUE,2,20260304110829,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,4,20260304111212,FALSE,100000.0,4,1,50x40xZ,OK,OK,15,0,NO,YES,FALSE,TRUE,TRUE,2,20260304110829,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260313_111441,0,20260313111441,TRUE,0.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260313_111441,1,20260313111445,FALSE,1000000.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,0,20260313111441,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260313_111441,2,20260313111446,TRUE,0.0,4,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260313_111441,3,20260313111448,FALSE,1000000.0,4,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,2,20260313111446,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260314_103039,0,20260314103040,TRUE,0.0,2,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260314_103039,1,20260314103041,FALSE,1000000.0,2,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,0,20260314103040,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260314_103039,2,20260314103044,TRUE,0.0,4,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260314_103039,3,20260314103045,FALSE,1000000.0,4,1,50x40xZ,OK,OK,12,0,NO,YES,FALSE,TRUE,TRUE,2,20260314103044,same_shape,MATCHED,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
