cs_run,expname,station,ice_dominant_process,ice_dominant_fraction,ice_runner_up_process,liq_dominant_process,liq_dominant_fraction,liq_runner_up_process,window_minutes,table_id,selection_rule,source_csvs
cs-eriswil__20260210_113944,20260210113944,S1,Aggregation (ice),0.0,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,20260210114328,S1,Aggregation (ice),0.0,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S1,Deposition (ice),1.0,Aggregation (ice),Riming (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S2,Aggregation (ice),0.0,Contact Freezing (ice),Immersion Freezing (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S3,Deposition (ice),1.0,Aggregation (ice),Drop Collision (liq),0.9999946861790566,Immersion Freezing (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S1,Immersion Freezing (ice),0.999850040753742,Riming (ice),Condensation (liq),0.9996227556089572,Riming (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S2,Deposition (ice),0.8897176209439567,Riming (ice),Condensation (liq),0.9998514268295636,Riming (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S3,Aggregation (ice),0.0,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S1,Deposition (ice),1.0,Aggregation (ice),Riming (liq),1.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S2,Immersion Freezing (ice),1.0,Aggregation (ice),Condensation (liq),0.9999825769718012,Drop Collision (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S3,Deposition (ice),0.9698227650218592,Immersion Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S1,Riming (ice),1.0,Aggregation (ice),Condensation (liq),0.7832635543310853,Riming (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S2,Deposition (ice),1.0,Aggregation (ice),Condensation (liq),0.999997494548383,Riming (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S3,Aggregation (ice),0.0,Contact Freezing (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S1,Aggregation (ice),0.0,Contact Freezing (ice),Condensation (liq),0.9773013504930456,Riming (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S2,Deposition (ice),1.0,Aggregation (ice),Drop Collision (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S3,Aggregation (ice),0.0,Contact Freezing (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,output/tables/registry/pilot_process_attribution_matrix.csv;output/tables/registry/paper_core_subset.csv
