variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam,source_stats_csv,cs_run,exp_id,expname
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-35.00,10.0,35.0,22.5,12.8,10.2,-0.05,468.4,18.8,-0.0,,,,1.5157219624143314,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,165.1,57.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,34.5,12.8,0.0,,,,-0.326451293484078,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,0.15,55.1,12.0,0.0,,,,0.3762184601478444,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,12.0,5.4,0.03,363.4,46.8,0.0,,,,2.475075853495663,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-35.00,10.0,35.0,22.5,12.0,7.9,-0.02,467.9,27.1,-0.0,,,,0.2300633667738411,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",10.00-35.00,10.0,35.0,22.5,12.6,9.7,-0.05,468.3,19.1,-0.0,,,,1.5155276121997303,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,197.0,60.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,36.6,19.1,0.0,,,,-0.3509651792186918,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,58.3,13.6,0.0,,,,0.3740998461731409,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",5.00-10.00,5.0,10.0,7.5,11.8,5.2,0.23,98.0,16.5,0.0,,,,0.6814566219414067,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",10.00-35.00,10.0,35.0,22.5,15.2,16.3,-0.06,354.2,87.3,-0.0,,,,1.1695611453936023,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass_small,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass_small,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass_small,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass_small,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass_small,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-35.00,10.0,35.0,22.5,12.8,10.2,-0.05,468.4,18.8,-0.0,,,,1.5157219624143314,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass_small,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,165.1,57.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass_small,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,34.5,12.8,0.0,,,,-0.326451293484078,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass_small,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,0.15,55.1,12.0,0.0,,,,0.3762184601478444,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass_small,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,12.0,5.4,0.03,363.4,46.8,0.0,,,,2.475075853495663,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass_small,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-35.00,10.0,35.0,22.5,12.0,7.9,-0.02,467.9,27.1,-0.0,,,,0.2300633667738411,output/gfx/csv/04/figure13_psd_stats_mass_small_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass_small,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass_small,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass_small,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass_small,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass_small,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",10.00-35.00,10.0,35.0,22.5,12.6,9.7,-0.05,468.3,19.1,-0.0,,,,1.5155276121997303,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass_small,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,197.0,60.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass_small,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,36.6,19.1,0.0,,,,-0.3509651792186918,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass_small,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,58.3,13.6,0.0,,,,0.3740998461731409,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass_small,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",5.00-10.00,5.0,10.0,7.5,11.8,5.2,0.23,98.0,16.5,0.0,,,,0.6814566219414067,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
mass_small,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",10.00-35.00,10.0,35.0,22.5,15.2,16.3,-0.06,354.2,87.3,-0.0,,,,1.1695611453936023,output/gfx/csv/04/figure13_psd_stats_mass_small_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,7.0,4.0,0.0,37.9,28.3,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,6.9,3.9,18.23,24.9,9.3,0.21,,,,-0.0875941733951285,output/gfx/csv/04/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",2.00-5.00,2.0,5.0,3.5,6.7,3.8,5.92,42.6,15.1,-0.07,,,,0.4315001304283861,output/gfx/csv/04/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,7.1,3.6,450.69,82.8,14.1,-0.02,,,,0.8719838385753746,output/gfx/csv/04/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-35.00,10.0,35.0,22.5,7.2,3.7,-181.17,449.1,76.7,-0.0,,,,1.5390484305908525,output/gfx/csv/04/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,7.0,4.0,0.0,55.6,49.7,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,6.9,3.9,15.26,25.1,9.5,0.21,,,,-0.165836132240808,output/gfx/csv/04/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",2.00-5.00,2.0,5.0,3.5,6.7,3.8,755.34,43.5,15.2,-0.04,,,,0.441871374943231,output/gfx/csv/04/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,7.0,3.7,-22.91,174.7,135.2,-0.01,,,,1.8242175769550333,output/gfx/csv/04/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-35.00,10.0,35.0,22.5,6.6,3.6,-8.14,440.9,88.9,-0.01,,,,0.8426520299952229,output/gfx/csv/04/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,7.0,4.0,0.0,38.8,28.4,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,6.9,3.9,15.4,24.9,9.3,0.21,,,,-0.0924878680462419,output/gfx/csv/04/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",2.00-5.00,2.0,5.0,3.5,6.7,3.8,8.67,42.6,15.1,-0.07,,,,0.4315001304283861,output/gfx/csv/04/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,7.1,3.6,452.43,82.8,14.1,-0.02,,,,0.8719838385753746,output/gfx/csv/04/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",10.00-35.00,10.0,35.0,22.5,7.1,3.7,-181.38,448.3,77.9,-0.0,,,,1.5374255387383862,output/gfx/csv/04/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,7.0,4.0,0.0,75.1,65.4,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,6.9,3.9,11.47,25.5,9.9,0.21,,,,-0.225227122897901,output/gfx/csv/04/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",2.00-5.00,2.0,5.0,3.5,6.7,3.8,9.75,44.7,16.5,-0.07,,,,0.4510335170222733,output/gfx/csv/04/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",5.00-10.00,5.0,10.0,7.5,6.9,3.7,891.11,90.2,17.4,-0.02,,,,0.921163929862402,output/gfx/csv/04/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",10.00-35.00,10.0,35.0,22.5,7.3,3.8,-269.11,179.2,105.8,-0.0,,,,0.6248547194975306,output/gfx/csv/04/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
